data_trimestre;trimestre;estado;qtd_terminais_pos;qtd_terminais_pos_compartilhados;qtd_terminais_pos_com_chip;qtd_terminais_pdv
2025-03-31;1;CE;1553067;697406;1060974;17189
2025-06-30;2;MA;835113;309471;516047;8512
2025-06-30;2;SC;1643622;579826;1108344;55756
2025-06-30;2;PA;1185174;397559;644340;14785
2025-06-30;2;DF;853493;253478;520679;12903
2025-06-30;2;PI;427286;151494;279233;5199
2025-06-30;2;PR;2157445;791323;1396998;69379
2025-06-30;2;MG;4146454;1551867;2743414;60466
2025-06-30;2;PB;720327;257618;460644;22502
2025-06-30;2;ES;847107;281823;529202;13951
2025-06-30;2;SE;408078;124150;278852;4733
2025-06-30;2;RR;120516;34487;64779;1925
2025-06-30;2;AP;148918;42626;81513;1324
2025-06-30;2;SP;10251635;4015072;6812114;173696
2025-06-30;2;AL;647853;255209;424134;7132
2025-06-30;2;MS;633400;187245;408762;15076
2025-06-30;2;RO;443811;181433;307757;5153
2025-06-30;2;GO;1775164;538132;1067862;31198
2025-06-30;2;BA;2566539;970394;1650171;28165
2025-06-30;2;RS;1767718;784976;1211921;155022
2025-06-30;2;RJ;3659992;1281425;2051696;39003
2025-06-30;2;MT;836250;245838;515847;36685
2025-06-30;2;AM;645499;208860;333308;6750
2025-06-30;2;AC;157715;42710;91437;2213
2025-06-30;2;TO;291855;94439;195416;4922
2025-06-30;2;RN;732161;302569;475547;10431
2025-06-30;2;PE;1586195;582822;980990;27151
2025-06-30;2;CE;1717643;714311;1097236;16602
2025-09-30;3;RO;482773;149746;316625;36694
2025-09-30;3;TO;323759;91263;204505;8625
2025-09-30;3;RS;1925441;752368;1237073;189348
2025-09-30;3;AP;170112;43455;86895;1409
2025-09-30;3;SE;451464;126989;293632;4936
2025-09-30;3;RJ;4096556;1281841;2115444;61776
2025-09-30;3;PI;478059;152555;293808;7352
2025-09-30;3;DF;945667;248053;542175;20129
2025-09-30;3;MA;934125;307947;534585;17230
2025-09-30;3;PA;1345832;401305;674426;22092
2025-09-30;3;BA;2873003;972282;1739677;48275
2025-09-30;3;PR;2367546;704357;1440950;173360
2025-09-30;3;MT;934332;227943;539603;57229
2025-09-30;3;RR;142902;34934;74219;2095
2025-09-30;3;CE;1910255;727633;1137119;18506
2025-09-30;3;SP;11260335;3946033;7063359;364779
2025-09-30;3;AM;737110;205971;349709;13892
2025-09-30;3;GO;1989894;498211;1124833;83688
2025-09-30;3;AC;180012;40914;97389;5136
2025-09-30;3;PE;1783869;591521;1026523;33271
2025-09-30;3;SC;1817562;459081;1160641;202152
2025-09-30;3;MG;4641319;1314211;2922730;322810
2025-09-30;3;PB;801011;255809;478148;30001
2025-09-30;3;MS;706651;180490;430686;25373
2025-09-30;3;RN;814573;307134;496339;14333
2025-09-30;3;ES;958033;248525;563397;64339
2025-09-30;3;AL;721760;260560;441501;9158
2025-12-31;4;PE;1969616;595644;1049642;33437
2025-12-31;4;MS;936313;179469;603608;26868
2025-12-31;4;AL;951205;262833;611229;8723
2025-12-31;4;SE;651492;127821;461748;4854
2025-12-31;4;MT;1028105;226118;553252;58903
2025-12-31;4;RO;684940;150111;485767;37132
2025-12-31;4;AP;188230;43690;87980;1494
2025-12-31;4;RR;157402;35095;74773;2505
2025-12-31;4;AC;198738;40940;99293;6189
2025-12-31;4;RJ;4659844;1273848;2270523;62959
2025-12-31;4;RN;896525;311145;510961;13939
2025-12-31;4;DF;1037479;246258;556484;20296
2025-12-31;4;SC;2178703;462646;1387471;220286
2025-12-31;4;CE;2099407;733231;1162127;18350
2025-12-31;4;GO;2346777;496979;1306443;84647
2025-12-31;4;BA;3317013;979594;1942292;53635
2025-12-31;4;ES;1216128;247065;740207;70476
2025-12-31;4;SP;12363594;3912404;7297720;370050
2025-12-31;4;TO;353287;90723;207873;9064
2025-12-31;4;PI;530055;153016;305494;7511
2025-12-31;4;PB;887540;258584;497309;34134
2025-12-31;4;PR;2752489;698918;1638634;191970
2025-12-31;4;RS;2240193;735407;1403435;188160
2025-12-31;4;MA;1031450;308847;544855;18767
2025-12-31;4;MG;5074919;1300471;3008008;355282
2025-12-31;4;PA;1661537;403213;850283;22811
2025-12-31;4;AM;987368;207624;519088;13574
2026-03-31;1;MG;5226601;1286223;2785470;358155
2026-03-31;1;GO;2276575;490046;1049239;89118
2026-03-31;1;RO;532724;149865;300451;35545
2026-03-31;1;SC;2110853;454312;1179269;221266
2026-03-31;1;RR;154372;34691;58220;2331
2026-03-31;1;AC;197752;40626;80811;5312
2026-03-31;1;TO;355464;89493;182168;13002
2026-03-31;1;MA;1069422;306658;490356;18467
2026-03-31;1;AP;186922;42888;69667;1624
2026-03-31;1;PB;916363;257667;453701;32521
2026-03-31;1;MS;807196;177468;415865;27628
2026-03-31;1;RS;2173625;720275;1177963;192798
2026-03-31;1;DF;1040321;242678;478225;22425
2026-03-31;1;CE;2189720;731304;1075961;18792
2026-03-31;1;AL;816112;261096;411429;8436
2026-03-31;1;RN;923444;310712;467116;13828
2026-03-31;1;SP;12692418;3847893;6692316;371069
2026-03-31;1;BA;3289367;976750;1656842;55267
2026-03-31;1;PI;529803;151328;261486;7395
2026-03-31;1;AM;872582;204414;322327;13815
2026-03-31;1;PA;1581165;399619;626419;22803
2026-03-31;1;RJ;4802851;1254408;1975003;64238
2026-03-31;1;PR;2705399;686319;1382201;188534
2026-03-31;1;MT;1062293;222914;504107;60176
2026-03-31;1;PE;2058387;591095;966194;33818
2026-03-31;1;SE;473173;128190;248943;4714
2026-03-31;1;ES;1094786;245359;533161;70660
